species_id,user_supplied_name,submitted_name,data_source_id,data_source_title,gni_uuid,matched_name2,classification_path,classification_path_ranks,classification_path_ids,taxon_id,edit_distance,imported_at,match_type,match_value,prescore,score,local_id,superkingdom,kingdom,phylum,class,order,family,genus,species,SourceList,n_unique_seqs,n_target,n_mitogenome,dup_accessions,dup_species,dup_species_n,n_all_seqs
Ancylis mediofasciana_2461435,Ancylis mediofasciana,Ancylis mediofasciana,4,National Center for Biotechnology Information,898459aa-7a9e-5fd1-92d7-b0e2f6c84853,Ancylis mediofasciana,|Eukaryota|Opisthokonta|Metazoa|Eumetazoa|Bilateria|Protostomia|Ecdysozoa|Panarthropoda|Arthropoda|Mandibulata|Pancrustacea|Hexapoda|Insecta|Dicondylia|Pterygota|Neoptera|Endopterygota|Amphiesmenoptera|Lepidoptera|Glossata|Neolepidoptera|Heteroneura|Ditrysia|Apoditrysia|Tortricoidea|Tortricidae|Olethreutinae|Enarmoniini|Ancylis|Ancylis mediofasciana,|superkingdom|clade|kingdom|clade|clade|clade|clade|clade|phylum|clade|clade|subphylum|class|clade|subclass|infraclass|cohort|superorder|order|suborder|infraorder|parvorder|clade|clade|superfamily|family|subfamily|tribe|genus|species,131567|2759|33154|33208|6072|33213|33317|1206794|88770|6656|197563|197562|6960|50557|85512|7496|33340|33392|85604|7088|41191|41196|41197|37567|104430|37568|7139|81687|581383|581395|2461435,2461435,0,2024-01-09T23:38:24Z,1,Exact string match,3|0|0,0.988,,Eukaryota,Metazoa,Arthropoda,Insecta,Lepidoptera,Tortricidae,Ancylis,Ancylis mediofasciana,5,3,3,0,MG465284.1|MG468742.1|MG467670.1,Ancylis mediofasciana_2461435,1,3
Borostomias antarcticus_473354,Borostomias antarcticus,Borostomias antarcticus,4,National Center for Biotechnology Information,a879c7a7-f26d-59f0-ac86-70c97ed08355,Borostomias antarcticus,|Eukaryota|Opisthokonta|Metazoa|Eumetazoa|Bilateria|Deuterostomia|Chordata|Craniata|Vertebrata|Gnathostomata|Teleostomi|Euteleostomi|Actinopterygii|Actinopteri|Neopterygii|Teleostei|Osteoglossocephalai|Clupeocephala|Euteleosteomorpha|Stomiati|Stomiiformes|Stomiidae|Astronesthinae|Borostomias|Borostomias antarcticus,|superkingdom|clade|kingdom|clade|clade|clade|phylum|subphylum|clade|clade|clade|clade|superclass|class|subclass|infraclass|clade||cohort|clade|order|family|subfamily|genus|species,131567|2759|33154|33208|6072|33213|33511|7711|89593|7742|7776|117570|117571|7898|186623|41665|32443|1489341|186625|1489388|1489798|48438|123351|473356|473353|473354,473354,0,2024-01-09T22:24:26Z,1,Exact string match,3|0|0,0.988,,Eukaryota,Metazoa,Chordata,Actinopteri,Stomiiformes,Stomiidae,Borostomias,Borostomias antarcticus,15,21,21,0,PQ728961.1|KJ190044.1|KY033576.1|KY033575.1|EU148104.1|KY033577.1|HQ563973.1|JN640807.1|JN640591.1|JN640589.1|JN640590.1|KY033872.1|KF929668.1|EU148105.1|EU148106.1|MW907999.1|KY033873.1|MW907996.1|MW907998.1|MW907997.1|MN123288.1|PQ727410.1,Borostomias antarcticus_473354,1,21
Cephalodella compressa_1063191,Cephalodella compressa,Cephalodella compressa,12,Encyclopedia of Life,5d6efdbe-25f1-57a9-ac76-6fc492ff3318,Cephalodella compressa,"","","",1063191,0,2024-01-10T02:36:27Z,1,Exact string match,3|0|0,0.988,1063191,na,na,na,na,na,na,na,na,5,0,0,0,na,na,0,0
Cymbella incerta crassipunctata_urn:lsid:marinespecies.org:taxname:695160,Cymbella incerta var crassipunctata,Cymbella incerta var crassipunctata,9,World Register of Marine Species,e30f6734-0965-53c1-addd-cddc36e61fda,Cymbella incerta crassipunctata,Chromista|Bacillariophyta|Bacillariophyceae|Cymbellales|Cymbellaceae|Cymbella|Cymbella incerta crassipunctata,kingdom|phylum|class|order|family|genus|Variety,"",urn:lsid:marinespecies.org:taxname:695160,0,2024-02-03T23:54:36Z,2,Exact match by canonical form,7|0|0,0.999,,na,Chromista,Bacillariophyta,Bacillariophyceae,Cymbellales,Cymbellaceae,Cymbella,na,"(17, 19)",0,0,0,na,na,0,0
Cyperus erythrorhizos_330166,Cyperus erythroryizos,Cyperus erythroryizos,4,National Center for Biotechnology Information,df0a31c1-cf60-5e2b-ade4-b56e2be0459e,Cyperus erythrorhizos,|Eukaryota|Viridiplantae|Streptophyta|Streptophytina|Embryophyta|Tracheophyta|Euphyllophyta|Spermatophyta|Magnoliopsida|Mesangiospermae|Liliopsida|Petrosaviidae||Poales|Cyperaceae|Cyperoideae|Cypereae|Cyperus||Cyperus||Cyperus erythrorhizos,|superkingdom|kingdom|phylum|subphylum|clade|clade|clade|clade|class|clade|clade|subclass|clade|order|family|subfamily|tribe|genus|clade|subgenus||species,131567|2759|33090|35493|131221|3193|58023|78536|58024|3398|1437183|4447|1437197|4734|38820|4609|986140|986145|4610|2034327|1982031|2034351|330166,330166,1,2024-01-09T22:18:26Z,3,Fuzzy match by canonical form,1|0|0,0.75,,Eukaryota,Viridiplantae,Streptophyta,Magnoliopsida,Poales,Cyperaceae,Cyperus,Cyperus erythrorhizos,5,0,0,0,na,na,0,0
Gammarus duebeni_178002,Gammarus duebeni,Gammarus duebeni,4,National Center for Biotechnology Information,6186b336-c88b-56ce-9630-81677ddcc13a,Gammarus duebeni,|Eukaryota|Opisthokonta|Metazoa|Eumetazoa|Bilateria|Protostomia|Ecdysozoa|Panarthropoda|Arthropoda|Mandibulata|Pancrustacea|Crustacea|Multicrustacea|Malacostraca|Eumalacostraca|Peracarida|Amphipoda|Senticaudata|Gammarida|Gammaridira|Gammaroidea|Gammaridae|Gammarus|Gammarus duebeni,|superkingdom|clade|kingdom|clade|clade|clade|clade|clade|phylum|clade|clade|subphylum|superclass|class|subclass|superorder|order|suborder|infraorder|parvorder|superfamily|family|genus|species,131567|2759|33154|33208|6072|33213|33317|1206794|88770|6656|197563|197562|6657|2172821|6681|72041|6820|6821|1732196|1732204|1732304|44329|36939|45625|178002,178002,0,2024-01-09T22:12:10Z,1,Exact string match,3|0|0,0.988,,Eukaryota,Metazoa,Arthropoda,Malacostraca,Amphipoda,Gammaridae,Gammarus,Gammarus duebeni,29,91,90,1,AY926669.1|GQ341741.1|GQ341742.1|GQ341743.1|GQ341727.1|GQ341726.1|NC_017760.1|JN704067.1|EF468644.1|EF468647.1|GQ341725.1|GQ341730.1|GQ341731.1|PV055557.1|GQ341728.1|GQ341723.1|GQ341738.1|GQ341735.1|FJ581639.1|FJ581642.1|FJ581641.1|FJ581644.1|FJ581643.1|FJ581640.1|GQ341720.1|MG318075.1|GQ341737.1|EF468649.1|GQ341722.1|EF468651.1|EF468648.1|EF468650.1|EF468643.1|EF468646.1|GQ341744.1|AF448519.1|AF448518.1|AF448520.1|AF448517.1|GQ341739.1|EU421744.1|EU421733.1|EU421746.1|EU421734.1|EU421735.1|EU421736.1|EU421737.1|EU421738.1|EU421739.1|EU421740.1|EU421747.1|EU421748.1|EU421750.1|FN675754.1|FN675755.1|FN675756.1|EU421753.1|EU421754.1|FN675743.1|EU421756.1|EU421757.1|EU421751.1|EU421758.1|EU421759.1|EU421760.1|EU421755.1|EU421761.1|EU421762.1|EU421765.1|FR717728.1|EU421763.1|FR717729.1|EU421766.1|FN675745.1|EU421767.1|FR717730.1|FN675758.1|FN675746.1|FN675747.1|EU421771.1|EU421773.1|FN675748.1|EU421775.1|EU421777.1|FN675749.1|EU421778.1|FN675751.1|FN675752.1|FN675753.1|EU421779.1|FR717731.1|EU421770.1|HF930481.1|HF930482.1|HF930483.1|HF930484.1|HF930485.1|HF930486.1|HF930487.1|HF930488.1|EF468645.1|GQ341734.1,Gammarus duebeni_178002,1,91
Gloeocystis major_60693931,Gloeocystis major,Gloeocystis major,12,Encyclopedia of Life,7436ca7b-a2d0-56fa-91b1-6c39e55b26ab,Gloeocystis major,"","","",60693931,0,2024-01-10T04:03:21Z,1,Exact string match,3|0|0,0.988,60693931,na,na,na,na,na,na,na,na,19,0,0,0,na,na,0,0
Lepyrus palustris_1587388,Lepyrus palustris,Lepyrus palustris,4,National Center for Biotechnology Information,274279ec-4974-55e2-8642-14477cfc2431,Lepyrus palustris,|Eukaryota|Opisthokonta|Metazoa|Eumetazoa|Bilateria|Protostomia|Ecdysozoa|Panarthropoda|Arthropoda|Mandibulata|Pancrustacea|Hexapoda|Insecta|Dicondylia|Pterygota|Neoptera|Endopterygota|Coleoptera|Polyphaga|Cucujiformia|Curculionoidea|Curculionidae|Molytinae|Lepyrini|Lepyrus|Lepyrus palustris,|superkingdom|clade|kingdom|clade|clade|clade|clade|clade|phylum|clade|clade|subphylum|class|clade|subclass|infraclass|cohort|order|suborder|infraorder|superfamily|family|subfamily|tribe|genus|species,131567|2759|33154|33208|6072|33213|33317|1206794|88770|6656|197563|197562|6960|50557|85512|7496|33340|33392|7041|41084|41088|71529|7042|54544|2495666|202017|1587388,1587388,0,2024-01-09T23:03:44Z,1,Exact string match,3|0|0,0.988,,Eukaryota,Metazoa,Arthropoda,Insecta,Coleoptera,Curculionidae,Lepyrus,Lepyrus palustris,5,5,5,0,KM439187.1|KM448358.1|KM439136.1|KM441122.1|KM448550.1|KX360483.1,Lepyrus palustris_1587388,1,5
Neuroctenus simplex_2020119,Neuroctena simplex,Neuroctena simplex,11,GBIF Backbone Taxonomy,5f709c09-924a-5200-8a26-4538169de1c2,Neuroctenus simplex,Animalia|Arthropoda|Insecta|Hemiptera|Aradidae|Neuroctenus|Neuroctenus simplex,kingdom|phylum|class|order|family|genus|species,1|54|216|809|7877|2020118|2020119,2020119,2,2024-01-12T04:23:52Z,3,Fuzzy match by canonical form,1|0|0,0.75,,na,Animalia,Arthropoda,Insecta,Hemiptera,Aradidae,Neuroctenus,Neuroctenus simplex,5,0,0,0,na,na,0,0
Tapinopa bilineata_2316242,Tapinopa bilineata,Tapinopa bilineata,4,National Center for Biotechnology Information,c0f2de13-a49b-5eb9-b603-fb20aada50c0,Tapinopa bilineata,|Eukaryota|Opisthokonta|Metazoa|Eumetazoa|Bilateria|Protostomia|Ecdysozoa|Panarthropoda|Arthropoda|Chelicerata|Arachnida|Araneae|Araneomorphae|Entelegynae|Orbiculariae|Araneoidea|Linyphiidae|Micronetinae|Tapinopa|Tapinopa bilineata,|superkingdom|clade|kingdom|clade|clade|clade|clade|clade|phylum|subphylum|class|order|suborder|clade|clade|superfamily|family|subfamily|genus|species,131567|2759|33154|33208|6072|33213|33317|1206794|88770|6656|6843|6854|6893|6905|74971|74974|74975|81835|430915|933017|2316242,2316242,0,2024-01-09T23:32:11Z,1,Exact string match,3|0|0,0.988,,Eukaryota,Metazoa,Arthropoda,Arachnida,Araneae,Linyphiidae,Tapinopa,Tapinopa bilineata,"(29, 5, 7)",1,1,0,MG045214.1,Tapinopa bilineata_2316242,1,1
