superkingdom,kingdom,phylum,class,order,family,genus,species,n_mitogenome,ids_mitogenome,n_target,ids_target,species_id,tax_query
Eukaryota_2759,Metazoa_33208,Chordata_7711,Aves_8782,Passeriformes_9126,Tyrannidae_28728,Tyrannus_43164,Tyrannus savana_137541,2,1919576750|1910802550,6,159156651|751371129|359285471|197257303|197257301|197257299,,
Eukaryota_2759,Metazoa_33208,Chordata_7711,Aves_8782,Procellariiformes_30449,genus_Oceanites_79652,Oceanites_79652,Oceanites oceanicus_79653,2,1980527226|1898548488,3,1540312953|116832471|116832469,,
Eukaryota_2759,Metazoa_33208,Chordata_7711,Aves_8782,Passeriformes_9126,Tyrannidae_28728,Empidonax_28729,Empidonax virescens_209628,0,,3,51101460|23598377|23598375,,
Eukaryota_2759,Metazoa_33208,Chordata_7711,Aves_8782,Charadriiformes_8906,Scolopacidae_8917,Limosa_161679,Limosa haemastica_162325,0,,4,51101732|51101700|425784896|527354888,,
Eukaryota_2759,Metazoa_33208,Chordata_7711,Aves_8782,Gaviiformes_30411,Gaviidae_30412,Gavia_37038,Gavia stellata_37040,12,2689246439|2689246425|2689246411|2689246397|2689246383|2689246369|2689246355|2689246341|2689246327|2689246313|66276072|45738236,9,257154963|51102050|51102038|292390148|292390146|292389164|292389162|257154965|134269303,,
Eukaryota_2759,Metazoa_33208,Chordata_7711,Aves_8782,Passeriformes_9126,Cardinalidae_2969676,Piranga_36732,Piranga rubra_36733,3,1610635639|1591473610|1591473596,5,116832591|117372463|117372461|377685647|359284033,,
Eukaryota_2759,Metazoa_33208,Chordata_7711,Aves_8782,Charadriiformes_8906,Laridae_8910,Leucophaeus_328018,Leucophaeus atricilla_126679,0,,8,116832323|116832321|116832319|116832317|116832315|116832313|116832311|116832309,,
Eukaryota_2759,Metazoa_33208,Chordata_7711,Aves_8782,Pelecaniformes_9205,Ardeidae_8899,Ixobrychus_110684,Ixobrychus exilis_110685,0,,6,2998286906|2104441938|2104441920|116877059|116877057|751370677,,
Eukaryota_2759,Metazoa_33208,Chordata_7711,Aves_8782,Passeriformes_9126,Parulidae_400782,Setophaga_182948,Setophaga pinus_182907,0,,7,2998286836|51101582|308224562|116876835|116876833|116832167|22085604,,
Eukaryota_2759,Metazoa_33208,Chordata_7711,Aves_8782,Charadriiformes_8906,Laridae_8910,Larus_8911,Larus delawarensis_126683,0,,3,51102082|116877155|116832335,,
